回号,抽選日,本数字1,本数字2,本数字3,本数字4,本数字5,本数字6,ボーナス数字
1921,2024/8/12,1,2,13,25,33,41,31
1920,2024/8/8,6,10,22,23,31,36,37
1919,2024/8/5,5,17,19,21,38,41,6
1918,2024/8/1,3,4,5,6,18,20,11
1917,2024/7/29,3,12,14,29,30,33,21
1916,2024/7/25,5,13,18,23,30,39,33
1915,2024/7/22,4,10,14,19,24,40,15
1914,2024/7/18,4,10,22,24,36,38,8
1913,2024/7/15,2,5,22,23,29,33,17
1912,2024/7/11,1,11,24,29,33,34,4
1911,2024/7/8,4,8,9,14,16,41,15
